[2023-05-23 12:55:23] ryuCPU: 0.0%, ryuMEM: 204.11328125 MB, totCPU: 0.0%, totMEM: 7.0%
[2023-05-23 12:55:26] ryuCPU: 0.0%, ryuMEM: 204.11328125 MB, totCPU: 0.0%, totMEM: 7.0%
[2023-05-23 12:55:29] ryuCPU: 32.9%, ryuMEM: 204.11328125 MB, totCPU: 12.0%, totMEM: 7.0%
[2023-05-23 12:55:32] ryuCPU: 52.9%, ryuMEM: 204.11328125 MB, totCPU: 21.7%, totMEM: 7.0%
[2023-05-23 12:55:35] ryuCPU: 45.0%, ryuMEM: 204.11328125 MB, totCPU: 27.1%, totMEM: 7.1%
[2023-05-23 12:55:38] ryuCPU: 51.9%, ryuMEM: 204.11328125 MB, totCPU: 20.3%, totMEM: 7.1%
[2023-05-23 12:55:41] ryuCPU: 44.7%, ryuMEM: 204.11328125 MB, totCPU: 15.6%, totMEM: 7.1%
[2023-05-23 12:55:44] ryuCPU: 41.9%, ryuMEM: 204.11328125 MB, totCPU: 21.1%, totMEM: 7.1%
[2023-05-23 12:55:47] ryuCPU: 53.9%, ryuMEM: 204.11328125 MB, totCPU: 20.0%, totMEM: 7.1%
[2023-05-23 12:55:50] ryuCPU: 51.2%, ryuMEM: 204.11328125 MB, totCPU: 19.0%, totMEM: 7.1%
[2023-05-23 12:55:53] ryuCPU: 51.8%, ryuMEM: 204.11328125 MB, totCPU: 20.6%, totMEM: 7.1%
[2023-05-23 12:55:56] ryuCPU: 47.0%, ryuMEM: 204.11328125 MB, totCPU: 24.1%, totMEM: 7.1%
[2023-05-23 12:55:59] ryuCPU: 48.0%, ryuMEM: 204.11328125 MB, totCPU: 19.4%, totMEM: 7.1%
[2023-05-23 12:56:02] ryuCPU: 45.0%, ryuMEM: 204.11328125 MB, totCPU: 25.5%, totMEM: 7.1%
[2023-05-23 12:56:05] ryuCPU: 49.5%, ryuMEM: 204.11328125 MB, totCPU: 19.2%, totMEM: 7.1%
[2023-05-23 12:56:08] ryuCPU: 57.9%, ryuMEM: 204.11328125 MB, totCPU: 16.4%, totMEM: 7.1%
[2023-05-23 12:56:11] ryuCPU: 54.9%, ryuMEM: 204.11328125 MB, totCPU: 15.2%, totMEM: 7.1%
[2023-05-23 12:56:14] ryuCPU: 44.0%, ryuMEM: 204.11328125 MB, totCPU: 19.7%, totMEM: 7.1%
[2023-05-23 12:56:17] ryuCPU: 45.6%, ryuMEM: 204.11328125 MB, totCPU: 21.0%, totMEM: 7.1%
[2023-05-23 12:56:20] ryuCPU: 43.9%, ryuMEM: 204.11328125 MB, totCPU: 15.9%, totMEM: 7.1%
[2023-05-23 12:56:23] ryuCPU: 41.4%, ryuMEM: 204.11328125 MB, totCPU: 19.0%, totMEM: 7.1%
