[2023-05-30 11:38:34] ryuCPU: 34.9%, ryuMEM: 154.265625MB, hping3CPU: 154.265625%, hping3MEM: 154.265625MB, TotalCPU: 9.9%, TotalMEM: 3.9%
[2023-05-30 11:38:37] ryuCPU: 45.0%, ryuMEM: 154.265625MB, hping3CPU: 154.265625%, hping3MEM: 154.265625MB, TotalCPU: 9.8%, TotalMEM: 3.9%
[2023-05-30 11:38:40] ryuCPU: 45.2%, ryuMEM: 154.265625MB, hping3CPU: 154.265625%, hping3MEM: 154.265625MB, TotalCPU: 11.1%, TotalMEM: 3.9%
[2023-05-30 11:38:44] ryuCPU: 39.5%, ryuMEM: 154.265625MB, hping3CPU: 154.265625%, hping3MEM: 154.265625MB, TotalCPU: 12.4%, TotalMEM: 3.9%
[2023-05-30 11:38:47] ryuCPU: 43.9%, ryuMEM: 154.265625MB, hping3CPU: 154.265625%, hping3MEM: 154.265625MB, TotalCPU: 9.8%, TotalMEM: 3.9%
[2023-05-30 11:38:50] ryuCPU: 39.0%, ryuMEM: 154.265625MB, hping3CPU: 154.265625%, hping3MEM: 154.265625MB, TotalCPU: 10.9%, TotalMEM: 3.9%
[2023-05-30 11:38:53] ryuCPU: 12.0%, ryuMEM: 154.265625MB, hping3CPU: 154.265625%, hping3MEM: 154.265625MB, TotalCPU: 8.9%, TotalMEM: 3.9%
[2023-05-30 11:38:56] ryuCPU: 1.0%, ryuMEM: 154.265625MB, hping3CPU: 154.265625%, hping3MEM: 154.265625MB, TotalCPU: 0.0%, TotalMEM: 3.9%
[2023-05-30 11:38:59] ryuCPU: 0.0%, ryuMEM: 154.265625MB, hping3CPU: 154.265625%, hping3MEM: 154.265625MB, TotalCPU: 0.0%, TotalMEM: 3.9%
[2023-05-30 11:39:02] ryuCPU: 0.0%, ryuMEM: 154.265625MB, hping3CPU: 154.265625%, hping3MEM: 154.265625MB, TotalCPU: 0.2%, TotalMEM: 3.9%
[2023-05-30 11:39:05] ryuCPU: 0.9%, ryuMEM: 154.265625MB, hping3CPU: 154.265625%, hping3MEM: 154.265625MB, TotalCPU: 0.0%, TotalMEM: 3.9%
[2023-05-30 11:39:08] ryuCPU: 0.0%, ryuMEM: 154.265625MB, hping3CPU: 154.265625%, hping3MEM: 154.265625MB, TotalCPU: 0.5%, TotalMEM: 3.9%
